2026-05-07 11:21:41 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 11:21:41 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 11:23:43 | ERROR    | app.middleware.error_handler:global_exception_handler:8 | Unhandled error on POST http://localhost:8000/auth/signup: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-05-07 11:35:05 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 11:35:05 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 11:36:45 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 11:36:45 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 11:44:38 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 11:44:38 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 11:45:02 | ERROR    | app.middleware.error_handler:global_exception_handler:8 | Unhandled error on POST http://localhost:8000/auth/signup: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-05-07 11:47:17 | ERROR    | app.middleware.error_handler:global_exception_handler:8 | Unhandled error on POST http://localhost:8000/auth/signup: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-05-07 11:48:58 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 11:48:58 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 11:51:50 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 11:51:50 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 11:52:27 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 11:52:27 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 11:53:08 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 11:53:08 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 11:54:00 | WARNING  | app.services.translation_service:translate:36 | googletrans failed: No module named 'googletrans'. Using mock translation.
2026-05-07 12:07:55 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 12:07:55 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 12:17:18 | ERROR    | app.middleware.error_handler:global_exception_handler:8 | Unhandled error on POST http://localhost:8000/auth/signup: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-05-07 12:17:28 | ERROR    | app.middleware.error_handler:global_exception_handler:8 | Unhandled error on POST http://localhost:8000/auth/signup: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-05-07 12:17:29 | ERROR    | app.middleware.error_handler:global_exception_handler:8 | Unhandled error on POST http://localhost:8000/auth/signup: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-05-07 12:17:30 | ERROR    | app.middleware.error_handler:global_exception_handler:8 | Unhandled error on POST http://localhost:8000/auth/signup: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-05-07 12:19:05 | ERROR    | app.middleware.error_handler:global_exception_handler:8 | Unhandled error on POST http://localhost:8000/auth/signup: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-05-07 12:28:27 | ERROR    | app.middleware.error_handler:global_exception_handler:8 | Unhandled error on POST http://localhost:8000/auth/signup: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-05-07 12:34:14 | ERROR    | app.middleware.error_handler:global_exception_handler:8 | Unhandled error on POST http://localhost:8000/auth/signup: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-05-07 12:35:09 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 12:35:09 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 12:42:11 | ERROR    | app.middleware.error_handler:global_exception_handler:8 | Unhandled error on POST http://localhost:8000/auth/signup: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-05-07 12:43:16 | ERROR    | app.middleware.error_handler:global_exception_handler:8 | Unhandled error on POST http://localhost:8000/auth/signup: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])
2026-05-07 12:46:00 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 12:46:00 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 12:47:10 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 12:47:10 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 13:00:45 | INFO     | app.api.upload:upload_pdf:42 | PDF uploaded: 2024121723.pdf → case 7e79b123-23fe-4242-a4cf-914f050f84ca
2026-05-07 13:00:45 | WARNING  | app.api.extract:extract_case_async:105 | Celery unavailable, falling back to sync: No module named 'celery'
2026-05-07 13:00:48 | INFO     | app.services.pdf_service:extract_text:66 | Detected digital PDF: ./uploads\65bd0428c4024792a040b3f3b53ebe36.pdf
2026-05-07 13:01:06 | INFO     | app.services.ai_service:extract_legal_data:143 | Using mock extraction (no AI key configured)
2026-05-07 13:43:18 | INFO     | app.api.upload:upload_pdf:42 | PDF uploaded: 2024121723.pdf → case acba96fe-56eb-4d1d-9ac2-b606c89ed8da
2026-05-07 13:43:18 | WARNING  | app.api.extract:extract_case_async:105 | Celery unavailable, falling back to sync: No module named 'celery'
2026-05-07 13:43:21 | INFO     | app.services.pdf_service:extract_text:66 | Detected digital PDF: ./uploads\fd7858e3e39f43fa8fb0d1a5c4e68415.pdf
2026-05-07 13:43:52 | INFO     | app.services.ai_service:extract_legal_data:143 | Using mock extraction (no AI key configured)
2026-05-07 14:34:08 | INFO     | app.api.upload:upload_pdf:42 | PDF uploaded: 2024121723.pdf → case 52a96651-8cec-42b1-9c88-260b8dba8d30
2026-05-07 14:34:08 | WARNING  | app.api.extract:extract_case_async:105 | Celery unavailable, falling back to sync: No module named 'celery'
2026-05-07 14:34:12 | INFO     | app.services.pdf_service:extract_text:66 | Detected digital PDF: ./uploads\4983462cbdd84d1d9538d33cdbb31130.pdf
2026-05-07 14:34:46 | INFO     | app.services.ai_service:extract_legal_data:143 | Using mock extraction (no AI key configured)
2026-05-07 16:38:55 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 16:38:55 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 16:54:41 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 16:54:41 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 16:56:51 | INFO     | app.api.upload:upload_pdf:42 | PDF uploaded: 2024121723.pdf → case 6da8dd5c-f0de-4ceb-8054-1cb047849747
2026-05-07 16:56:54 | INFO     | app.services.pdf_service:extract_text:66 | Detected digital PDF: ./uploads\110dce8f635b46fea517cdc52579ea47.pdf
2026-05-07 16:57:45 | INFO     | app.services.ai_service:extract_legal_data:143 | Using mock extraction (no AI key configured)
2026-05-07 16:57:45 | INFO     | app.services.ai_service:generate_action_plan:165 | Using mock action plan (no AI key configured)
2026-05-07 17:07:15 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 17:07:15 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 17:07:16 | INFO     | app.api.upload:upload_pdf:42 | PDF uploaded: 59206122025CW7002025_210307.pdf → case ae5ff6c4-7ac0-402a-8eb9-31488bd6261d
2026-05-07 17:07:17 | INFO     | app.services.pdf_service:extract_text:66 | Detected digital PDF: ./uploads\f8e768fc0a034c00850f3fb7604d8b12.pdf
2026-05-07 17:07:38 | INFO     | app.services.ai_service:extract_legal_data:143 | Using mock extraction (no AI key configured)
2026-05-07 17:07:38 | INFO     | app.services.ai_service:generate_action_plan:165 | Using mock action plan (no AI key configured)
2026-05-07 17:08:59 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 17:08:59 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 17:09:46 | INFO     | app.api.upload:upload_pdf:42 | PDF uploaded: Case 2.pdf → case 10f2f105-fe49-4b25-829d-17e23866e6a3
2026-05-07 17:09:47 | INFO     | app.services.pdf_service:extract_text:66 | Detected digital PDF: ./uploads\453b9ebeb20f426194f8c1ceb6a236ad.pdf
2026-05-07 17:09:55 | INFO     | app.services.ai_service:extract_legal_data:143 | Using mock extraction (no AI key configured)
2026-05-07 17:09:56 | INFO     | app.services.ai_service:generate_action_plan:165 | Using mock action plan (no AI key configured)
2026-05-07 19:17:48 | INFO     | app.main:startup:58 | Starting Verdict2Action backend...
2026-05-07 19:17:48 | INFO     | app.main:startup:61 | Database initialized. Server ready.
2026-05-07 22:25:21 | INFO     | app.api.upload:upload_pdf:42 | PDF uploaded: Case 2.pdf → case f03a7806-9c37-4fde-8c12-0a825fd43d21
2026-05-07 22:25:23 | INFO     | app.services.pdf_service:extract_text:66 | Detected digital PDF: ./uploads\dd29d1035bf04103af7b1eb0bf92b5a5.pdf
2026-05-07 22:25:57 | INFO     | app.services.ai_service:extract_legal_data:143 | Using mock extraction (no AI key configured)
2026-05-07 22:25:58 | INFO     | app.services.ai_service:generate_action_plan:165 | Using mock action plan (no AI key configured)
2026-05-07 22:27:00 | INFO     | app.api.upload:upload_pdf:42 | PDF uploaded: Case 2.pdf → case 3367a7cd-e0df-48da-9837-eddb23c1590d
2026-05-07 22:27:01 | INFO     | app.services.pdf_service:extract_text:66 | Detected digital PDF: ./uploads\6b191a019c1047b48ad6d826de8f82c6.pdf
2026-05-07 22:27:22 | INFO     | app.services.ai_service:extract_legal_data:143 | Using mock extraction (no AI key configured)
2026-05-07 22:27:23 | INFO     | app.services.ai_service:generate_action_plan:165 | Using mock action plan (no AI key configured)
2026-05-07 22:30:00 | INFO     | app.api.upload:upload_pdf:42 | PDF uploaded: Case 2.pdf → case e3e53f14-c94a-4e0b-8424-3226852e3870
2026-05-07 22:30:00 | INFO     | app.services.pdf_service:extract_text:66 | Detected digital PDF: ./uploads\d25c835ef0db47fab0c4e83ac6de739e.pdf
2026-05-07 22:30:14 | INFO     | app.services.ai_service:extract_legal_data:143 | Using mock extraction (no AI key configured)
2026-05-07 22:30:14 | INFO     | app.services.ai_service:generate_action_plan:165 | Using mock action plan (no AI key configured)
